hh:mm,Elevation angle,Azimuth angle
0:00,20.16,85.68
0:15,22.53,88.54
0:30,24.9,91.44
0:45,27.27,94.4
1:00,29.63,97.43
1:15,31.97,100.56
1:30,34.29,103.79
1:45,36.58,107.14
2:00,38.83,110.64
2:15,41.02,114.3
2:30,43.15,118.15
2:45,45.2,122.21
3:00,47.16,126.51
3:15,49.01,131.08
3:30,50.73,135.92
3:45,52.31,141.06
4:00,53.71,146.51
4:15,54.92,152.26
4:30,55.91,158.29
4:45,56.66,164.57
5:00,57.16,171.04
5:15,57.4,177.62
5:30,57.36,184.23
5:45,57.04,190.79
6:00,56.46,197.21
6:15,55.64,203.42
6:30,54.58,209.37
6:45,53.31,215.03
7:00,51.85,220.39
7:15,50.23,225.44
7:30,48.47,230.2
7:45,46.58,234.68
8:00,44.59,238.91
8:15,42.51,242.9
8:30,40.36,246.69
8:45,38.14,250.3
9:00,35.88,253.75
9:15,33.58,257.07
9:30,31.25,260.26
9:45,28.9,263.36
10:00,26.53,266.37
10:15,24.16,269.31
10:30,21.78,272.19
10:45,19.41,275.03
11:00,17.05,277.84
11:15,14.71,280.64
11:30,12.4,283.41
11:45,10.11,286.19
12:00,7.87,288.98
12:15,5.67,291.78
12:30,3.55,294.61
12:45,1.55,297.46
13:00,-0.27,300.36
13:15,-2.58,303.3
13:30,-4.9,306.29
13:45,-6.84,309.34
14:00,-8.63,312.45
14:15,-10.34,315.62
14:30,-11.95,318.86
14:45,-13.45,322.17
15:00,-14.85,325.55
15:15,-16.14,329
15:30,-17.3,332.52
15:45,-18.33,336.11
16:00,-19.22,339.76
16:15,-19.97,343.46
16:30,-20.58,347.2
16:45,-21.03,350.99
17:00,-21.32,354.8
17:15,-21.46,358.63
17:30,-21.44,2.46
17:45,-21.26,6.29
18:00,-20.93,10.09
18:15,-20.44,13.87
18:30,-19.8,17.61
18:45,-19.01,21.3
19:00,-18.08,24.93
19:15,-17.02,28.5
19:30,-15.83,32
19:45,-14.51,35.44
20:00,-13.09,38.8
20:15,-11.55,42.1
20:30,-9.92,45.32
20:45,-8.19,48.48
21:00,-6.37,51.58
21:15,-4.49,54.61
21:30,-1.91,57.59
21:45,0.17,60.52
22:00,2.03,63.41
22:15,4.07,66.26
22:30,6.21,69.09
22:45,8.41,71.89
23:00,10.67,74.68
23:15,12.96,77.46
23:30,15.28,80.25
23:45,17.62,83.05
0:00,20.16,85.87
