latitude,longitude,altitude (m)
42.9768659,76.99257681,3830.3
42.9770276,76.99270715,3818.1
42.97730124,76.99282887,3803.1
42.97764439,76.9929729,3788.5
42.97796494,76.99307728,3780.1
42.97867598,76.99330746,3772.8
42.97884439,76.99338737,3773.4
42.97968525,76.99367229,3789.7
42.98007142,76.99385947,3797.9
42.98069287,76.9941986,3796.7
42.98107694,76.99438553,3801.5
42.98183331,76.99470824,3816
42.98211224,76.99483756,3819.5
42.98248946,76.99502509,3823.5
42.98272417,76.9952368,3821.5
42.98308697,76.99543187,3820.4
42.98372464,76.9958138,3832.9
42.98423739,76.99597385,3857.7
42.98447033,76.99612374,3868.3
42.98482092,76.99626158,3882.7
42.9856482,76.99681605,3871.1
42.98608555,76.99713621,3867.3
42.98638076,76.99731087,3860.4
42.98670492,76.99753052,3851.2
42.9872141,76.99787914,3822.8
42.98753485,76.99810556,3801.3
42.9878837,76.9985066,3769.6
42.98820584,76.99881137,3730.8
42.98851817,76.9991306,3684.8
42.98877501,76.99948197,3653.3
42.98907899,76.99974134,3620.5
42.98937671,77.00006111,3592.3
42.98978876,77.00038181,3559.5
42.99015017,77.00067636,3526.9
42.99037722,77.00086142,3507.6
42.99069683,77.00112154,3483.9
42.99098742,77.0013279,3466.2
42.99138886,77.0015884,3445.2
42.9915396,77.00168633,3437.7
42.99182891,77.0018984,3424.4
42.99207974,77.00206408,3413.4
42.99238135,77.00226328,3401.5
42.99278743,77.00252558,3387.2
42.99329117,77.0028623,3364.1
42.99370143,77.00312341,3351.3
42.99396068,77.00328358,3343.8
42.99453052,77.00363858,3327.1
42.99525876,77.00409038,3304.3
42.99567333,77.0043541,3292.3
42.99614151,77.00465048,3277.8
42.99634997,77.00478245,3270.7
42.99687327,77.00511079,3251.3
42.99736597,77.00533503,3234.1
42.99762704,77.00550364,3225.2
42.99802237,77.00564923,3217.3
42.99855263,77.00597265,3203.8
42.99871031,77.00607402,3198.3
42.99913151,77.00634481,3185.5
42.99952313,77.00650718,3173.1
42.99994931,77.00677035,3158.9
43.00043413,77.00705174,3150.7
43.00086571,77.00730067,3143.6
43.0014046,77.00761764,3131.4
43.00183542,77.00787404,3119.7
43.00221025,77.00811074,3108.3
43.00253249,77.00831254,3099.5
43.00296544,77.00856708,3090
43.00339793,77.00882868,3080.1
43.00361354,77.00896387,3075.8
43.00388352,77.00913304,3069.7
43.00437556,77.0094016,3063
43.00495671,77.00978763,3062.3
43.0055026,77.01008627,3055.3
43.00604762,77.01039689,3049.6
43.00637566,77.01057007,3047.5
43.0067581,77.0107769,3045.1
43.0069762,77.01090386,3043.8
43.0074896,77.01108482,3043.6
43.00781797,77.01120295,3061.9
43.00825402,77.01133182,3088.1
43.00868657,77.01144461,3114.5
43.00890171,77.01151465,3128.1
43.00911634,77.0115889,3141.9
43.00943713,77.01169986,3152
43.00970339,77.01179198,3158.9
43.00997058,77.01192011,3167.4
43.01050772,77.01222671,3164.9
43.01061538,77.0122921,3164
43.011099,77.01256971,3160.9
43.01131383,77.01268948,3159.9
43.0116872,77.01287577,3156.8
43.01205849,77.01304625,3164.1
43.01237471,77.01318225,3169.4
43.0126377,77.01329552,3174.8
43.01290049,77.01340978,3181.4
43.01314235,77.01360672,3189.1
43.01335223,77.01370112,3193.9
43.01371831,77.01386242,3210
43.01394528,77.01386271,3218.3
43.01410866,77.01365915,3224.2
43.01414918,77.01349995,3226
43.01438976,77.01296579,3245.4
43.01453953,77.01257949,3258.1
43.01471025,77.01212263,3271.9
43.01494435,77.01145089,3289.8
43.01511503,77.01100227,3304
43.01522357,77.01078034,3312.6
43.01513419,77.01049701,3307
43.01486503,77.01049275,3289.9
43.01452269,77.01054249,3269.8
43.01422901,77.01060886,3252.5
43.0140337,77.01070073,3240.5
43.01356404,77.01079306,3212.4
43.01351279,77.01077509,3209.3
43.01301056,77.01078582,3180.3
43.0127003,77.01068058,3162.5
43.0124924,77.01060802,3151
43.01222939,77.01050442,3141
43.01182855,77.010256,3123.9
43.01153209,77.01004972,3112.8
43.01114843,77.00970773,3102.4
43.01074199,77.0094427,3090.5
43.01042,77.00930185,3085.1
43.01017209,77.00909481,3078.4
43.00984852,77.00894986,3071.2
43.00954633,77.00873442,3062.6
43.00911255,77.00854222,3051.5
43.00873165,77.00836432,3039.1
43.00842669,77.00814648,3030.4
43.00809872,77.00800916,3026.5
43.00771551,77.00781059,3024.1
43.0074638,77.00759183,3023.3
43.00710232,77.00731563,3025.1
43.00677348,77.00713991,3026.2
43.00638981,77.00692572,3029.9
43.00592028,77.0065704,3034.5
43.00564745,77.00641212,3039.6
43.00526474,77.00619742,3047.4
43.00493792,77.00600524,3053.1
43.00455643,77.00578475,3058.7
43.00415325,77.00563893,3065.1
43.00388091,77.00548314,3070.9
43.00353325,77.0053659,3079.4
43.00300558,77.00520796,3096.6
43.00247931,77.00505113,3115.3
43.00213611,77.00492392,3121.5
43.00182263,77.00491388,3127.3
43.00142136,77.00477374,3134.2
43.00094521,77.00467404,3143.3
43.00041501,77.00454468,3152.7
42.99989056,77.00440052,3164.4
42.99938988,77.00418025,3181.1
42.9992851,77.00411098,3184.4
42.99879533,77.00386806,3201.5
42.99851368,77.00376871,3212.4
42.99814551,77.00353798,3226.6
42.99760064,77.00327961,3248.8
42.99687258,77.00281323,3277.4
42.99640276,77.00252098,3294.4
42.99619561,77.00238878,3301.1
42.99593666,77.00222493,3308.4
42.99574889,77.00202468,3312.5
42.99555743,77.00183052,3315.6
42.99529015,77.00168215,3319.5
42.9949364,77.00140197,3326.3
42.99447945,77.00105737,3332.7
42.99413382,77.00076609,3338.8
42.99375218,77.00042286,3357.8
42.99347274,77.00014719,3371.3
42.99309342,76.99980587,3394.5
42.99285101,76.99962979,3411.1
42.99255463,76.99928733,3438.2
42.99246245,76.99921276,3445.7
42.99215935,76.99888383,3476.2
